f_effective Mass
14.0316390767 3.88867681376e-05
14.171593969 3.94215144675e-05
14.2327939678 3.94673981569e-05
14.3215430402 4.06947238396e-05
14.4367644541 4.12093989926e-05
14.5047118408 4.19770154545e-05
14.6186262636 4.2334345923e-05
14.650262311 4.29957329451e-05
14.7335078068 4.33039802509e-05
14.8150319333 4.40447218376e-05
14.851132719 4.44659422546e-05
14.9824714825 4.49131464107e-05
15.0246593438 4.5521374068e-05
15.1756515291 4.58271858533e-05
15.2725380674 4.66062627919e-05
15.3045995195 4.75979571756e-05
15.3654369088 4.82889274046e-05
15.4066858347 4.85110083895e-05
15.5565404907 4.89743764963e-05
15.6376133128 4.94269042148e-05
15.7066607596 4.98566831384e-05
15.7480933954 5.01059184195e-05
15.938354305 5.05748188401e-05
15.9728766581 5.208689771e-05
16.1333959418 5.24377196996e-05
16.2019105181 5.28762419786e-05
16.2856769773 5.3573659861e-05
16.4083998478 5.42093255774e-05
16.4455687823 5.44836927961e-05
16.5773933988 5.58612177806e-05
16.6400953642 5.6261405951e-05
16.7042313778 5.67376364768e-05
16.8206423885 5.7562078935e-05
16.8854499433 5.85698371561e-05
16.9154545751 5.8812973896e-05
16.953385968 5.96709949885e-05
17.0588485675 6.01931708278e-05
17.1219277329 6.08131051313e-05
17.1995852438 6.13671352627e-05
17.2916472257 6.2081751842e-05
17.4387867436 6.25820076587e-05
17.4894156364 6.34467304983e-05
17.5676113009 6.36916473888e-05
17.7411890524 6.41563043603e-05
17.7799812222 6.57369398273e-05
17.8125898917 6.60056732789e-05
17.9419304601 6.67206570919e-05
18.092228828 6.73239968411e-05
18.1508683415 6.75529258052e-05
18.1839424564 6.81410227849e-05
18.2689681559 6.92601721315e-05
18.4063530667 7.01430730259e-05
18.4945441447 7.07176003944e-05
18.5502148585 7.13729831478e-05
18.6332428031 7.15758801492e-05
18.6813028028 7.22915339358e-05
18.7842141392 7.37671800129e-05
18.8239429965 7.47077039726e-05
18.9942028089 7.50389059138e-05
19.1234366598 7.53997332582e-05
19.1759054683 7.64309379335e-05
19.3308754204 7.71129357329e-05
19.4016503636 7.72612996437e-05
19.4403084756 7.85171370737e-05
19.5451295103 7.92236697844e-05
19.689670237 7.99811067961e-05
19.7897359985 8.02689242332e-05
19.8005064391 8.13861414041e-05
19.9064259335 8.1710109974e-05
19.971353275 8.3051650959e-05
20.1324464089 8.46128089225e-05
20.2051199705 8.46714420203e-05
20.3118037671 8.58439929365e-05
20.3914249753 8.65159236959e-05
20.4028913219 8.77172069835e-05
20.5615568108 8.7840437395e-05
20.6012081544 8.89912570784e-05
20.6452216491 8.99169453189e-05
20.7498650604 9.06024055224e-05
20.7686674868 9.10976175969e-05
20.8950065393 9.20654113964e-05
20.9890854465 9.29785005727e-05
21.0220251668 9.39421269981e-05
21.0757628429 9.54633693189e-05
21.1829439307 9.65202510665e-05
21.28011876 9.73000956551e-05
21.3936577531 9.73543023231e-05
21.4186281429 9.78437788658e-05
21.568981409 9.96562937046e-05
21.5945556897 0.000100403713908
21.6881875916 0.000101497242534
21.769212204 0.000102002170386
21.8059672501 0.000102531676944
22.0056754254 0.000102734622435
22.1295641208 0.000103873604015
22.1715479769 0.000105482210885
22.2416732844 0.000106053219831
22.4081205189 0.000106711543327
22.5264352318 0.0001079138726
22.5530856193 0.000109358099717
22.6334774357 0.000110067568982
22.7506516243 0.000110565208935
22.8355699003 0.000111563037332
22.8690146429 0.000113558927964
22.9331344889 0.000114048980124
23.1308589416 0.00011516876514
23.1500725566 0.000116243146199
23.3088960478 0.000117716261778
23.3749307553 0.0001182067922
23.3938777057 0.000119346555677
23.5795233104 0.000119734644805
23.6164897468 0.000121792332579
23.7206298347 0.000122604158077
23.7690060668 0.000123906691484
23.8282991904 0.000124036377392
24.0175670701 0.000124336129317
24.0790617544 0.000125432929454
24.1605498392 0.000126896759696
24.2170228822 0.000127491424834
24.3020073762 0.000129186250065
24.3232395869 0.000130288564653
24.3678169598 0.000131715290789
24.4784790191 0.000132600547874
24.5859948257 0.000133676553117
24.6660881883 0.000134670427576
24.7728412371 0.000135640968936
24.9447635722 0.000136494036964
24.9499540066 0.000137768614676
25.0081217734 0.000139257828089
25.149264138 0.000140685530843
25.302734777 0.000140976082506
25.4237529718 0.000142559681472
25.4435409525 0.00014305939534
25.4801854162 0.000143797855572
25.5263579861 0.000144888479174
25.6091609027 0.000146887511745
25.6870745733 0.000147514771266
25.8047180017 0.000148924353676
25.9704277972 0.000150222732573
26.0414809256 0.000151199587825
26.076496105 0.00015129292747
26.1529264574 0.000152157603515
26.3425055537 0.000153821844885
26.4582385491 0.000154805225128
26.5072076842 0.000156225113429
26.6517250468 0.000158257888563
26.7008554787 0.000159739779671
26.7594241036 0.00016088557395
26.8121756115 0.000161911996833
26.8808915026 0.000162047646023
26.9758318825 0.000163073288267
27.0359067855 0.000165135028029
27.1035627326 0.000167553911614
27.2348242559 0.000167819799862
27.2977022269 0.000170431182625
27.3979472933 0.000171963502767
27.4869616996 0.000173359517607
27.5932735173 0.000173619782782
27.6986192005 0.000173998154187
27.7742639034 0.000175145350144
27.8748016919 0.00017772056218
27.9259318036 0.000179577146072
28.1044351511 0.00017988907596
28.1642885315 0.000181094483356
28.2485229577 0.000181928681729
28.409616672 0.00018273278618
28.4194231972 0.000183428426619
28.473570022 0.000186377129477
28.6353723146 0.000187530361608
28.6637323774 0.000189684930892
28.6898741671 0.000190018127884
28.8800250545 0.000190348650748
29.0216770991 0.000191165766973
29.0695181178 0.000193276106625
29.2089369245 0.00019515753904
29.2250966163 0.000196765102144
29.2815982222 0.000198884447607
29.330172965 0.000199548701382
29.4626937274 0.000202453050452
29.5510735359 0.00020357496169
29.6518947825 0.000203665441865
29.7116827597 0.000205228625744
29.844537307 0.000207442432238
29.9048841312 0.000209406575422
29.9851476355 0.00021179596956
30.1002535333 0.000213399809608
30.1974325807 0.000214444241505
30.4001922933 0.000214990630118
30.4646654198 0.000216488621915
30.5122407909 0.000218356180488
30.5565390225 0.00022126033304
30.5970033931 0.000222551589008
30.6266665773 0.000223208641621
30.6893861606 0.000224811783375
30.806909777 0.000227636803596
30.920764014 0.000227883507038
30.9845267535 0.000229236638797
31.1389222066 0.000230523014199
31.2142080288 0.000231915333114
31.2780177176 0.000234226380061
31.3227102415 0.000235843113
31.4412185796 0.000236487524868
31.5502544162 0.000237879280668
31.7444480293 0.000239182104684
31.8186115843 0.000240886766796
31.8985278313 0.000241992014281
31.9752427502 0.000243533218789
32.0320325457 0.000245771990736
32.1189141503 0.000247291074552
32.300158357 0.000250390811418
32.3300354906 0.000251286111856
