H w z
1.98063224659 1.25518364524 1.97656019502
1.97598627986 1.25072215409 1.97642402883
1.97136775452 1.24627990492 1.97628742957
1.96677644433 1.24185675724 1.976150397
1.96221212551 1.23745257197 1.97601293087
1.9576745767 1.23306721139 1.97587503094
1.95316357894 1.22870053917 1.97573669695
1.9486789156 1.22435242031 1.97559792867
1.94422037241 1.22002272115 1.97545872586
1.93978773737 1.21571130935 1.97531908828
1.935380801 1.21141805409 1.97517901569
1.93099935615 1.20714282597 1.97503850785
1.92664319765 1.20288549658 1.97489756454
1.92231212246 1.19864593877 1.97475618551
1.91800592971 1.19442402664 1.97461437053
1.91372442067 1.19021963549 1.97447211939
1.90946739866 1.18603264184 1.97432943184
1.90523466911 1.18186292342 1.97418630767
1.90102603945 1.17771035912 1.97404274665
1.89684131915 1.173574829 1.97389874855
1.89268031965 1.16945621426 1.97375431316
1.88854285435 1.16535439724 1.97360944026
1.88442873858 1.16126926142 1.97346412963
1.88033778959 1.15720069137 1.97331838105
1.87626982649 1.15314857274 1.97317219432
1.87222467027 1.14911279229 1.97302556921
1.86820214375 1.14509323783 1.97287850552
1.86420207155 1.14108979823 1.97273100304
1.86022428009 1.1371023634 1.97258306157
1.85626859754 1.13313082427 1.97243468089
1.85233485398 1.12917507297 1.9722858608
1.84842288132 1.12523500271 1.97213660111
1.84453251294 1.12131050751 1.9719869016
1.84066358392 1.11740148236 1.97183676209
1.83681593102 1.11350782324 1.97168618238
1.83298939259 1.1096294271 1.97153516227
1.82918380863 1.10576619181 1.97138370156
1.82539902074 1.1019180162 1.97123180007
1.82163487208 1.09808480002 1.97107945761
1.81789120736 1.09426644394 1.97092667399
1.81416787285 1.09046284953 1.97077344902
1.81046471633 1.08667391926 1.97061978252
1.80678158706 1.08289955649 1.9704656743
1.80311833582 1.07913966543 1.9703111242
1.7994748148 1.07539415119 1.97015613202
1.79585087769 1.07166291971 1.97000069759
1.79224637956 1.06794587776 1.96984482073
1.78866117691 1.06424293299 1.96968850127
1.78509512764 1.06055399383 1.96953173905
1.781548091 1.05687896955 1.96937453388
1.77801992774 1.05321777033 1.96921688561
1.77451049997 1.04957030721 1.96905879406
1.77101967103 1.04593649189 1.96890025907
1.76754730556 1.04231623684 1.96874128047
1.76409326951 1.03870945532 1.96858185812
1.76065743008 1.03511606135 1.96842199183
1.75723965577 1.0315359697 1.96826168147
1.75383981631 1.02796909587 1.96810092688
1.75045778266 1.02441535614 1.96793972789
1.74709342701 1.02087466748 1.96777808436
1.74374662275 1.01734694759 1.96761599614
1.74041724448 1.01383211491 1.96745346308
